Category,Cargo,Figures,Month
Imports / Million Tons,Bulk Cargo,0.299,7/1/2020
Imports / Million Tons,General Cargo,1.315,7/1/2020
Imports / Million Tons,Total Dry Cargo,1.614,7/1/2020
Imports / Million Tons,Total Liquid Cargo,1.113,7/1/2020
Imports / Million Tons,Total Cargo,2.727,7/1/2020
Exports / Million Tons,Bulk Cargo,0.606,7/1/2020
Exports / Million Tons,General Cargo,0.738,7/1/2020
Exports / Million Tons,Total Dry Cargo,1.344,7/1/2020
Exports / Million Tons,Total Liquid Cargo,0.08,7/1/2020
Exports / Million Tons,Total Cargo,1.424,7/1/2020
Total Imports & Exports / Million Tons,Bulk Cargo,0.905,7/1/2020
Total Imports & Exports / Million Tons,General Cargo,2.053,7/1/2020
Total Imports & Exports / Million Tons,Total Dry Cargo,2.958,7/1/2020
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.193,7/1/2020
Total Imports & Exports / Million Tons,Total Cargo,4.151,7/1/2020
Total TEU(s) in Millions,Imports,0.085,7/1/2020
Total TEU(s) in Millions,Exports,0.078,7/1/2020
Imports / Million Tons,Bulk Cargo,0.225,8/1/2020
Imports / Million Tons,General Cargo,1.244,8/1/2020
Imports / Million Tons,Total Dry Cargo,1.468,8/1/2020
Imports / Million Tons,Total Liquid Cargo,0.952,8/1/2020
Imports / Million Tons,Total Cargo,2.42,8/1/2020
Exports / Million Tons,Bulk Cargo,0.293,8/1/2020
Exports / Million Tons,General Cargo,0.515,8/1/2020
Exports / Million Tons,Total Dry Cargo,0.808,8/1/2020
Exports / Million Tons,Total Liquid Cargo,0.056,8/1/2020
Exports / Million Tons,Total Cargo,0.864,8/1/2020
Total Imports & Exports / Million Tons,Bulk Cargo,0.518,8/1/2020
Total Imports & Exports / Million Tons,General Cargo,1.759,8/1/2020
Total Imports & Exports / Million Tons,Total Dry Cargo,2.276,8/1/2020
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.008,8/1/2020
Total Imports & Exports / Million Tons,Total Cargo,3.284,8/1/2020
Total TEU(s) in Millions,Imports,0.081,8/1/2020
Total TEU(s) in Millions,Exports,0.064,8/1/2020
Imports / Million Tons,Bulk Cargo,0.632,9/1/2020
Imports / Million Tons,General Cargo,1.421,9/1/2020
Imports / Million Tons,Total Dry Cargo,2.053,9/1/2020
Imports / Million Tons,Total Liquid Cargo,0.909,9/1/2020
Imports / Million Tons,Total Cargo,2.962,9/1/2020
Exports / Million Tons,Bulk Cargo,0.527,9/1/2020
Exports / Million Tons,General Cargo,0.751,9/1/2020
Exports / Million Tons,Total Dry Cargo,1.277,9/1/2020
Exports / Million Tons,Total Liquid Cargo,0.078,9/1/2020
Exports / Million Tons,Total Cargo,1.355,9/1/2020
Total Imports & Exports / Million Tons,Bulk Cargo,1.158,9/1/2020
Total Imports & Exports / Million Tons,General Cargo,2.172,9/1/2020
Total Imports & Exports / Million Tons,Total Dry Cargo,3.33,9/1/2020
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.987,9/1/2020
